Date,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Unfollows,Replies,Reposts,Profile visits,Create Post,Video views,Media views
"Mon, Apr 6, 2026",41,1,30,0,0,21,18,0,0,0,0,0,0
"Sun, Apr 5, 2026",68,0,197,0,0,193,77,0,0,0,1,0,0
"Sat, Apr 4, 2026",468,4,332,0,2,320,32,1,1,1,3,0,0
"Fri, Apr 3, 2026",618,5,206,0,0,178,38,0,0,4,1,0,0
"Thu, Apr 2, 2026",191,13,133,0,0,114,49,1,0,2,0,0,0
"Wed, Apr 1, 2026",554,4,173,0,0,153,42,0,0,0,4,0,0
"Tue, Mar 31, 2026",306,2,137,0,0,117,55,0,0,1,6,0,0
Date,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Unfollows,Replies,Reposts,Profile visits,Create Post,Video views,Media views
"Mon, Apr 6, 2026",41,1,30,0,0,21,18,0,0,0,0,0,0
"Sun, Apr 5, 2026",68,0,197,0,0,193,77,0,0,0,1,0,0
"Sat, Apr 4, 2026",468,4,332,0,2,320,32,1,1,1,3,0,0
"Fri, Apr 3, 2026",618,5,206,0,0,178,38,0,0,4,1,0,0
"Thu, Apr 2, 2026",191,13,133,0,0,114,49,1,0,2,0,0,0
"Wed, Apr 1, 2026",554,4,173,0,0,153,42,0,0,0,4,0,0
"Tue, Mar 31, 2026",306,2,137,0,0,117,55,0,0,1,6,0,0
